Game URL,Vote_precentage
https://www.roblox.com/games/286090429/Arsenal?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=286090429&position=56&universeId=111958650,89%
https://www.roblox.com/games/3475397644/MAKOURA-Dragon-Adventures?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3475397644&position=57&universeId=1235188606,89%
https://www.roblox.com/games/12399018110/Worm-2048?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12399018110&position=58&universeId=4363131662,52%
https://www.roblox.com/games/2809202155/Your-Bizarre-Adventure?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2809202155&position=59&universeId=1016936714,90%
https://www.roblox.com/games/6243699076/The-Mimic?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6243699076&position=60&universeId=2294168059,90%
https://www.roblox.com/games/7253149844/SCP-Games-and-SCP-Monsters?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7253149844&position=61&universeId=2827951974,80%
https://www.roblox.com/games/893973440/Flee-the-Facility?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=893973440&position=62&universeId=372226183,92%
https://www.roblox.com/games/7074772062/Speed-Draw?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7074772062&position=63&universeId=2729513759,87%
https://www.roblox.com/games/6205205961/Escape-Running-Head?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6205205961&position=64&universeId=2274830359,78%
https://www.roblox.com/games/2534724415/Emergency-Response-Liberty-County?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2534724415&position=65&universeId=903807016,91%
https://www.roblox.com/games/4104106043/Insane-Elevator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4104106043&position=66&universeId=1358133289,86%
https://www.roblox.com/games/6766156863/Strongman-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6766156863&position=67&universeId=2564505263,93%
https://www.roblox.com/games/7678601903/Squid-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7678601903&position=68&universeId=2981978342,56%
https://www.roblox.com/games/8573962925/Alternate-Battlegrounds?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8573962925&position=69&universeId=3267638623,79%
