name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
Fart Race Gang Race,Game Geek Studio,96%,"3,702","77,478",49158701,12/07/2022,05/06/2023,All Genres,20,https://www.roblox.com/games/11763462079/Fart-Race-Gang-Race?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11763462079&position=41&universeId=4164550385
Da Hood,Da Hood Entertainment,70%,"9,220","2,704,687",2084309512,1/27/2019,05/04/2023,Town and City,40,https://www.roblox.com/games/2788229376/Da-Hood?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2788229376&position=44&universeId=1008451066
Natural Disaster Survival,@Stickmasterluke,90%,"5,930","9,620,280",2392045465,3/28/2008,04/05/2023,All Genres,30,https://www.roblox.com/games/189707/Natural-Disaster-Survival?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=189707&position=43&universeId=65241
 2X EVENT Sonic Speed Simulator,Gamefam x Sonic,93%,"5,878","1,806,166",737064794,03/09/2022,05/11/2023,Adventure,16,https://www.roblox.com/games/9049840490/GOLD-SHADOW-Sonic-Speed-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9049840490&position=36&universeId=3405618667
Teamwork Puzzles,@QualityNonsense,82%,"11,801","395,197",311883191,12/12/2020,05/06/2023,All Genres,12,https://www.roblox.com/games/6075270490/Teamwork-Puzzles?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6075270490&position=46&universeId=2204432936
UPD 5 Anime Warriors Simulator 2,Enclamatic Simulators,93%,"18,376","46,108",19658548,01/01/2022,05/11/2023,Adventure,14,https://www.roblox.com/games/8425128940/UPD-5-Anime-Warriors-Simulator-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8425128940&position=45&universeId=3222903591
Tower Defense Simulator,Paradoxum Games,94%,"12,928","2,736,379",2559377554,06/05/2019,05/05/2023,All Genres,45,https://www.roblox.com/games/3260590327/Tower-Defense-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3260590327&position=47&universeId=1176784616
Twilight Daycare Hugs,Nighty Studio,89%,"13,318","1,724,528",1702361094,03/12/2021,05/11/2023,RPG,20,https://www.roblox.com/games/6507422231/Twilight-Daycare-Hugs?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6507422231&position=48&universeId=2435789930
Muscle Legends,Scriptbloxian Studios,87%,"12,245","2,000,543",1293222232,08/09/2019,04/08/2023,Fighting,20,https://www.roblox.com/games/3623096087/Muscle-Legends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3623096087&position=53&universeId=1268927906
Work at a Pizza Place,@Dued1,92%,"10,616","11,789,667",4307266938,3/28/2008,05/05/2023,Town and City,12,https://www.roblox.com/games/192800/Work-at-a-Pizza-Place?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=192800&position=49&universeId=47545
 Shinobi Life 2,RELL World,93%,"9,429","2,755,471",2167835139,1/20/2020,05/03/2023,All Genres,5,https://www.roblox.com/games/4616652839/Shinobi-Life-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4616652839&position=51&universeId=1511883870
BEAST Rogue Demon,TS Industries.,81%,"22,882","324,786",167695229,3/14/2022,05/11/2023,Fighting,25,https://www.roblox.com/games/9103898828/BEAST-Rogue-Demon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9103898828&position=50&universeId=3421408084
Vehicle Legends,QuadraTech,93%,"11,154","1,794,896",920292495,01/02/2020,05/10/2023,Adventure,18,https://www.roblox.com/games/4566572536/Vehicle-Legends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4566572536&position=54&universeId=1480782352
BARRYS PRISON RUN FIRST PERSON OBBY,@PlatinumFalls,59%,"12,237","659,241",1252586562,02/02/2022,05/10/2023,Adventure,14,https://www.roblox.com/games/8712817601/BARRYS-PRISON-RUN-FIRST-PERSON-OBBY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8712817601&position=52&universeId=3310460039
Combat Warriors,PlayCombatWarriors,84%,"10,991","1,795,143",720168960,11/03/2019,05/10/2023,Fighting,100,https://www.roblox.com/games/4282985734/Combat-Warriors?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4282985734&position=55&universeId=1390601379
Arsenal,ROLVe,89%,"11,701","10,466,702",4748450839,8/18/2015,05/11/2023,FPS,16,https://www.roblox.com/games/286090429/Arsenal?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=286090429&position=56&universeId=111958650
 MAKOURA Dragon Adventures,Sonar Studios,89%,"4,438","1,363,884",565113258,7/15/2019,05/06/2023,Adventure,20,https://www.roblox.com/games/3475397644/MAKOURA-Dragon-Adventures?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3475397644&position=57&universeId=1235188606
Worm 2048,MetaMake,52%,"3,171","22,741",34207236,02/06/2023,4/28/2023,All Genres,15,https://www.roblox.com/games/12399018110/Worm-2048?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12399018110&position=58&universeId=4363131662
